city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Delhi,28.6600,77.2300,India,IN,Delhi,admin,32226000,16753235
Mumbai,19.0758,72.8775,India,IN,MahÄrÄshtra,admin,24973000,12478447
KolkÄta,22.5675,88.3700,India,IN,West Bengal,admin,21747000,4496694
Chennai,13.0825,80.2750,India,IN,Tamil NÄdu,admin,12395000,6727000
HyderÄbÄd,17.3617,78.4747,India,IN,TelangÄna,admin,10494000,6993262
Bangalore,12.9791,77.5913,India,IN,KarnÄtaka,admin,8443675,8443675
Pune,18.5211,73.8553,India,IN,MahÄrÄshtra,,8231000,3124458
Ahmedabad,23.0219,72.5797,India,IN,GujarÄt,minor,8009000,5570585
SÅ«rat,21.2050,72.8400,India,IN,GujarÄt,,6538000,4466826
Prayagraj,25.4500,81.8500,India,IN,Uttar Pradesh,,5954391,5954391
Kanpur,24.2850,72.6933,India,IN,GujarÄt,,5230000,4581268
Kanpur,26.4725,80.3311,India,IN,Uttar Pradesh,,4581268,4581268
BelÄhi,25.7167,86.4000,India,IN,BihÄr,,4487379,4487379
Vadodara,22.3000,73.2000,India,IN,GujarÄt,,3500000,1670806
NÄdampÄlaiyam,11.1793,77.3760,India,IN,Tamil NÄdu,,3458045,3458045
Lucknow,26.8470,80.9470,India,IN,Uttar Pradesh,admin,3382000,3382000
Kannankulam,10.4799,76.1131,India,IN,Kerala,,3243170,3243170
MahuÄkherÄganj,29.1300,78.9500,India,IN,UttarÄkhand,,3198982,3198982
Nagla,29.0100,79.5100,India,IN,UttarÄkhand,,3198982,3198982
Jaipur,26.9150,75.8200,India,IN,RÄjasthÄn,admin,3073350,3073350
KottÄrasshÄri,10.6167,76.5333,India,IN,Kerala,,2952254,2952254
Gorakhpur,22.1688,81.6042,India,IN,ChhattÄ«sgarh,,2500000,1300000
NÄgpur,21.1497,79.0806,India,IN,MahÄrÄshtra,,2405665,2405665
GuwÄhÄti,26.1806,91.7502,India,IN,Assam,,2376654,962334
GhÄziÄbÄd,28.6667,77.4167,India,IN,Uttar Pradesh,,2375820,2375820
Coimbatore,11.0008,76.9633,India,IN,Tamil NÄdu,,2136916,1601438
Patna,25.6100,85.1414,India,IN,BihÄr,admin,2046652,1684222
RÄjkot,22.2969,70.7984,India,IN,GujarÄt,,2043000,2043000
VishÄkhapatnam,17.6939,83.2922,India,IN,Andhra Pradesh,,2035922,2035922
Indore,22.7186,75.8550,India,IN,Madhya Pradesh,,1994397,1994397
Abhepur,30.6667,76.8333,India,IN,Punjab,,1895686,1895686
GumÄnwÄla,29.9333,77.9000,India,IN,UttarÄkhand,,1890422,1890422
ThÄne,19.1800,72.9633,India,IN,MahÄrÄshtra,,1886941,1886941
BhopÄl,23.2500,77.4167,India,IN,Madhya Pradesh,admin,1798218,1798218
Ägra,27.1800,78.0200,India,IN,Uttar Pradesh,,1760285,1585705
Peyanvilai,8.5674,78.1046,India,IN,Tamil NÄdu,,1750176,1750176
Pimpri-Chinchwad,18.6278,73.8131,India,IN,MahÄrÄshtra,,1729320,1729320
SaundhonwÄli,30.3331,77.9608,India,IN,UttarÄkhand,,1696694,1696694
LudhiÄna,30.9083,75.8486,India,IN,Punjab,,1618879,1618879
Meerut,28.9800,77.7064,India,IN,Uttar Pradesh,,1571434,1571434
